Date,Time,HH:MM:SS,.SS,App Version,Build Hash,Parametric Version,UI Version,UI Bootloader Version ,Machine State,Cycle Selected,Cycle Engine State,Drum Motor,HTR 1 / Inner / Top,HTR 2 / Outer / Bot,Steam Valve,Inlet Thermistor,Outlet Thermistor,Raw Moisture,Filtered Moisture,Erd_TargetMoistureVoltageErd_TargetMoistureVoltage,TargetMoistureVoltageReached,MaxFilteredMoistureVoltageDuringASensingCycl,TTRTVoltage Seconds,Temp Multi EcoDry,Temp Multi Extra Dry,Temp Multi Low,Temp Multi Medium,Temp Multi High,NormalHeatControlMethodStatus,FallbackHeatControlMethodStatus,HeatControlRequest,TrimmerInhibitRelay1,TrimmerInhibitRelay2,TrimmerBothCoilInhibitRequest,OverTempHeaterInhibitRequest,EcoDryInhibitRelay1,Door Switch,Filtered Moisture,Drum Motor,HTR 1 / Inner / Top,HTR 2 / Outer / Bot,Steam Valve,Personality,Time Level,Erd_TimeLevelOptionRequest,Remaing Cycle Time,Min Sensing Eapse Time In Sec,Time Multi Sec X 100,Time Adder Sec
10/13/2021,16:00:13:.914,04:00:13 p. m.,.914,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,156,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.080,04:00:14 p. m.,.080,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.262,04:00:14 p. m.,.262,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.427,04:00:14 p. m.,.427,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.605,04:00:14 p. m.,.605,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.764,04:00:14 p. m.,.764,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:14:.931,04:00:14 p. m.,.931,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,162,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.094,04:00:15 p. m.,.094,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.283,04:00:15 p. m.,.283,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.453,04:00:15 p. m.,.453,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.623,04:00:15 p. m.,.623,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.781,04:00:15 p. m.,.781,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:15:.956,04:00:15 p. m.,.956,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,161,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
